From	To	Species	Gene Name
ENSBTAG00000034662	LOC613316	Bos taurus	cytochrome b-c1 complex subunit 2, mitochondrial pseudogene(LOC613316)
ENSBTAG00000007041	SERPINA3-8	Bos taurus	SERPINA3-8(SERPINA3-8)
ENSBTAG00000008372	PEX11B	Bos taurus	peroxisomal biogenesis factor 11 beta(PEX11B)
ENSBTAG00000033331	CHMP1A	Bos taurus	charged multivesicular body protein 1A(CHMP1A)
ENSBTAG00000007044	CALHM1	Bos taurus	calcium homeostasis modulator 1(CALHM1)
ENSBTAG00000010696	DVL1	Bos taurus	dishevelled segment polarity protein 1(DVL1)
ENSBTAG00000008374	AQP2	Bos taurus	aquaporin 2(AQP2)
ENSBTAG00000033330	HOXD11	Bos taurus	homeobox D11(HOXD11)
ENSBTAG00000007043	LOC112445741	Bos taurus	serpin A3-7-like(LOC112445741)
ENSBTAG00000045319	LOC112448178	Bos taurus	U5 spliceosomal RNA(LOC112448178)
ENSBTAG00000010698	VARS2	Bos taurus	valyl-tRNA synthetase 2, mitochondrial(VARS2)
ENSBTAG00000020019	XCR1	Bos taurus	X-C motif chemokine receptor 1(XCR1)
ENSBTAG00000008371	FBXL20	Bos taurus	F-box and leucine rich repeat protein 20(FBXL20)
ENSBTAG00000008370	GNRHR2	Bos taurus	gonadotropin releasing hormone receptor 2(GNRHR2)
ENSBTAG00000020017	SLC25A41	Bos taurus	solute carrier family 25 member 41(SLC25A41)
ENSBTAG00000007049	MBL2	Bos taurus	mannose binding lectin 2(MBL2)
ENSBTAG00000046646	MIR2285D	Bos taurus	microRNA mir-2285d(MIR2285D)
ENSBTAG00000020018	FRK	Bos taurus	fyn related Src family tyrosine kinase(FRK)
ENSBTAG00000045316	LOC112443674	Bos taurus	small nucleolar RNA SNORD11(LOC112443674)
ENSBTAG00000046649	SGPP2	Bos taurus	sphingosine-1-phosphate phosphatase 2(SGPP2)
ENSBTAG00000021346	CCDC34	Bos taurus	coiled-coil domain containing 34(CCDC34)
ENSBTAG00000020015	DFFB	Bos taurus	DNA fragmentation factor subunit beta(DFFB)
ENSBTAG00000046648	CPA4	Bos taurus	carboxypeptidase A4(CPA4)
ENSBTAG00000021347	CWH43	Bos taurus	cell wall biogenesis 43 C-terminal homolog(CWH43)
ENSBTAG00000021344	USP26	Bos taurus	ubiquitin specific peptidase 26(USP26)
ENSBTAG00000021345	OXGR1	Bos taurus	oxoglutarate receptor 1(OXGR1)
ENSBTAG00000008376	SMRP1	Bos taurus	spermatid-specific manchette-related protein 1(SMRP1)
ENSBTAG00000045312	LOC112447595	Bos taurus	U6 spliceosomal RNA(LOC112447595)
ENSBTAG00000020014	CEP104	Bos taurus	centrosomal protein 104(CEP104)
ENSBTAG00000021342	TLCD5	Bos taurus	TLC domain containing 5(TLCD5)
ENSBTAG00000047975	DOK5	Bos taurus	docking protein 5(DOK5)
ENSBTAG00000008378	FEM1B	Bos taurus	fem-1 homolog B(FEM1B)
ENSBTAG00000046644	HRAS	Bos taurus	HRas proto-oncogene, GTPase(HRAS)
ENSBTAG00000021343	ARHGEF12	Bos taurus	Rho guanine nucleotide exchange factor 12(ARHGEF12)
ENSBTAG00000020012	CDC5L	Bos taurus	cell division cycle 5 like(CDC5L)
ENSBTAG00000007047	FZD10	Bos taurus	frizzled class receptor 10(FZD10)
ENSBTAG00000019020	TAX1BP1	Bos taurus	Tax1 binding protein 1(TAX1BP1)
ENSBTAG00000021340	POU2F3	Bos taurus	POU class 2 homeobox 3(POU2F3)
ENSBTAG00000021341	BTBD1	Bos taurus	BTB domain containing 1(BTBD1)
ENSBTAG00000019021	TRPC3	Bos taurus	transient receptor potential cation channel subfamily C member 3(TRPC3)
ENSBTAG00000020010	SPATA1	Bos taurus	spermatogenesis associated 1(SPATA1)
ENSBTAG00000047972	INAVA	Bos taurus	innate immunity activator(INAVA)
ENSBTAG00000019023	NANS	Bos taurus	N-acetylneuraminate synthase(NANS)
ENSBTAG00000045310	LOC112449459	Bos taurus	small nucleolar RNA SNORA31(LOC112449459)
ENSBTAG00000019028	STOX1	Bos taurus	storkhead box 1(STOX1)
ENSBTAG00000019029	DPH5	Bos taurus	diphthamide biosynthesis 5(DPH5)
ENSBTAG00000033339	ANKLE2	Bos taurus	ankyrin repeat and LEM domain containing 2(ANKLE2)
ENSBTAG00000035998	CKB	Bos taurus	creatine kinase B(CKB)
ENSBTAG00000032007	LRP11	Bos taurus	LDL receptor related protein 11(LRP11)
ENSBTAG00000010690	PDX1	Bos taurus	pancreatic and duodenal homeobox 1(PDX1)
ENSBTAG00000033333	CDK10	Bos taurus	cyclin dependent kinase 10(CDK10)
ENSBTAG00000019024	JAZF1	Bos taurus	JAZF zinc finger 1(JAZF1)
ENSBTAG00000034665	PRSS55	Bos taurus	serine protease 55(PRSS55)
ENSBTAG00000010691	USP39	Bos taurus	ubiquitin specific peptidase 39(USP39)
ENSBTAG00000019025	NDUFA11	Bos taurus	NADH:ubiquinone oxidoreductase subunit A11(NDUFA11)
ENSBTAG00000010692	SND1	Bos taurus	staphylococcal nuclease and tudor domain containing 1(SND1)
ENSBTAG00000019026	EXTL2	Bos taurus	exostosin like glycosyltransferase 2(EXTL2)
ENSBTAG00000033335	LOC617694	Bos taurus	NADH:ubiquinone oxidoreductase subunit B4 pseudogene(LOC617694)
ENSBTAG00000035995	TNFAIP2	Bos taurus	TNF alpha induced protein 2(TNFAIP2)
ENSBTAG00000010693	LMO7	Bos taurus	LIM domain 7(LMO7)
ENSBTAG00000019027	SLC30A7	Bos taurus	solute carrier family 30 member 7(SLC30A7)
ENSBTAG00000033334	SPATA2L	Bos taurus	spermatogenesis associated 2 like(SPATA2L)
ENSBTAG00000032003	ZCCHC13	Bos taurus	zinc finger CCHC-type containing 13(ZCCHC13)
ENSBTAG00000007053	ZFHX2	Bos taurus	zinc finger homeobox 2(ZFHX2)
ENSBTAG00000008384	SLC25A47	Bos taurus	solute carrier family 25 member 47(SLC25A47)
ENSBTAG00000007052	BDKRB1	Bos taurus	bradykinin receptor B1(BDKRB1)
ENSBTAG00000008386	CLPX	Bos taurus	caseinolytic mitochondrial matrix peptidase chaperone subunit X(CLPX)
ENSBTAG00000008385	KLHL36	Bos taurus	kelch like family member 36(KLHL36)
ENSBTAG00000045308	LOC112443281	Bos taurus	small nucleolar RNA SNORD116(LOC112443281)
ENSBTAG00000008380	ITGA11	Bos taurus	integrin subunit alpha 11(ITGA11)
ENSBTAG00000045309	MIR2443	Bos taurus	microRNA mir-2443(MIR2443)
ENSBTAG00000008382	METTL25	Bos taurus	methyltransferase like 25(METTL25)
ENSBTAG00000007051	CLDN23	Bos taurus	claudin 23(CLDN23)
ENSBTAG00000020028	RBP1	Bos taurus	retinol binding protein 1(RBP1)
ENSBTAG00000021357	ZNF518A	Bos taurus	zinc finger protein 518A(ZNF518A)
ENSBTAG00000020026	C3H1orf43	Bos taurus	chromosome 3 C1orf43 homolog(C3H1orf43)
ENSBTAG00000022689	RYBP	Bos taurus	RING1 and YY1 binding protein(RYBP)
ENSBTAG00000046637	ZBED2	Bos taurus	zinc finger BED-type containing 2(ZBED2)
ENSBTAG00000047968	BTBD18	Bos taurus	BTB domain containing 18(BTBD18)
ENSBTAG00000045307	MIR2330	Bos taurus	microRNA mir-2330(MIR2330)
ENSBTAG00000021358	BLNK	Bos taurus	B cell linker(BLNK)
ENSBTAG00000008388	THOC2	Bos taurus	THO complex 2(THOC2)
ENSBTAG00000045300	LOC112449408	Bos taurus	small nucleolar RNA SNORA79(LOC112449408)
ENSBTAG00000045301	MIR2464	Bos taurus	microRNA mir-2464(MIR2464)
ENSBTAG00000020022	IL13RA2	Bos taurus	interleukin 13 receptor subunit alpha 2(IL13RA2)
ENSBTAG00000007058	ATG2A	Bos taurus	autophagy related 2A(ATG2A)
ENSBTAG00000008389	HTRA1	Bos taurus	HtrA serine peptidase 1(HTRA1)
ENSBTAG00000020023	MTHFS	Bos taurus	5,10-methenyltetrahydrofolate synthetase (5-formyltetrahydrofolate cyclo-ligase)(MTHFS)
ENSBTAG00000047964	TMEM210	Bos taurus	transmembrane protein 210(TMEM210)
ENSBTAG00000019031	PLPPR4	Bos taurus	phospholipid phosphatase related 4(PLPPR4)
ENSBTAG00000021351	MED12	Bos taurus	mediator complex subunit 12(MED12)
ENSBTAG00000022681	EOGT	Bos taurus	EGF domain specific O-linked N-acetylglucosamine transferase(EOGT)
ENSBTAG00000019033	CD84	Bos taurus	CD84 molecule(CD84)
ENSBTAG00000019039	ZNF239	Bos taurus	zinc finger protein 239(ZNF239)
ENSBTAG00000033326	DPEP1	Bos taurus	dipeptidase 1(DPEP1)
ENSBTAG00000034659	UBTD2	Bos taurus	ubiquitin domain containing 2(UBTD2)
ENSBTAG00000034656	LOC781416	Bos taurus	40S ribosomal protein S15a pseudogene(LOC781416)
ENSBTAG00000034657	LOC617833	Bos taurus	myelin and lymphocyte protein(LOC617833)
ENSBTAG00000033322	SRP9	Bos taurus	signal recognition particle 9(SRP9)
ENSBTAG00000035985	OR8K1	Bos taurus	olfactory receptor family 8 subfamily K member 1(OR8K1)
ENSBTAG00000019036	ARHGAP28	Bos taurus	Rho GTPase activating protein 28(ARHGAP28)
ENSBTAG00000035986	OR8K5B	Bos taurus	olfactory receptor family 8 subfamily K member 5B(OR8K5B)
ENSBTAG00000019038	OR10J5	Bos taurus	olfactory receptor family 10 subfamily J member 5(OR10J5)
ENSBTAG00000007020	ZNF502	Bos taurus	zinc finger protein 502(ZNF502)
ENSBTAG00000010672	PCCA	Bos taurus	propionyl-CoA carboxylase subunit alpha(PCCA)
ENSBTAG00000009683	PSMA6	Bos taurus	proteasome 20S subunit alpha 6(PSMA6)
ENSBTAG00000008351	C5H12orf60	Bos taurus	chromosome 5 C12orf60 homolog(C5H12orf60)
ENSBTAG00000010673	EFNA4	Bos taurus	ephrin A4(EFNA4)
ENSBTAG00000008350	KLHL21	Bos taurus	kelch like family member 21(KLHL21)
ENSBTAG00000009681	PPP2R3C	Bos taurus	protein phosphatase 2 regulatory subunit B''gamma(PPP2R3C)
ENSBTAG00000008353	CDKN1A	Bos taurus	cyclin dependent kinase inhibitor 1A(CDKN1A)
ENSBTAG00000009682	PRORP	Bos taurus	protein only RNase P catalytic subunit(PRORP)
ENSBTAG00000008352	ART4	Bos taurus	ADP-ribosyltransferase 4(ART4)
ENSBTAG00000010676	RBM44	Bos taurus	RNA binding motif protein 44(RBM44)
ENSBTAG00000010677	LIMCH1	Bos taurus	LIM and calponin homology domains 1(LIMCH1)
ENSBTAG00000046628	LYZ3	Bos taurus	lysozyme 3(LYZ3)
ENSBTAG00000009680	FAM177A1	Bos taurus	family with sequence similarity 177 member A1(FAM177A1)
ENSBTAG00000021328	SPHKAP	Bos taurus	SPHK1 interactor, AKAP domain containing(SPHKAP)
ENSBTAG00000021329	ZBTB3	Bos taurus	zinc finger and BTB domain containing 3(ZBTB3)
ENSBTAG00000047956	NAGLU	Bos taurus	N-acetyl-alpha-glucosaminidase(NAGLU)
ENSBTAG00000021326	CCL20	Bos taurus	C-C motif chemokine ligand 20(CCL20)
ENSBTAG00000023989	MSANTD4	Bos taurus	Myb/SANT DNA binding domain containing 4 with coiled-coils(MSANTD4)
ENSBTAG00000021327	DAW1	Bos taurus	dynein assembly factor with WD repeats 1(DAW1)
ENSBTAG00000047955	ZNF774	Bos taurus	zinc finger protein 774(ZNF774)
ENSBTAG00000009689	RWDD1	Bos taurus	RWD domain containing 1(RWDD1)
ENSBTAG00000022656	KCTD6	Bos taurus	potassium channel tetramerization domain containing 6(KCTD6)
ENSBTAG00000047958	DPP7	Bos taurus	dipeptidyl peptidase 7(DPP7)
ENSBTAG00000023987	LRIT2	Bos taurus	leucine rich repeat, Ig-like and transmembrane domains 2(LRIT2)
ENSBTAG00000021325	SLC19A3	Bos taurus	solute carrier family 19 member 3(SLC19A3)
ENSBTAG00000046626	CCNP	Bos taurus	cyclin P(CCNP)
ENSBTAG00000007029	OR4E2	Bos taurus	olfactory receptor family 4 subfamily E member 2(OR4E2)
ENSBTAG00000007024	LOC786978	Bos taurus	40S ribosomal protein S3a-like(LOC786978)
ENSBTAG00000008355	CPSF1	Bos taurus	cleavage and polyadenylation specific factor 1(CPSF1)
ENSBTAG00000009687	TIMM21	Bos taurus	translocase of inner mitochondrial membrane 21(TIMM21)
ENSBTAG00000021322	TM4SF20	Bos taurus	transmembrane 4 L six family member 20(TM4SF20)
ENSBTAG00000021323	AGFG1	Bos taurus	ArfGAP with FG repeats 1(AGFG1)
ENSBTAG00000047951	LOC112443041	Bos taurus	U1 spliceosomal RNA(LOC112443041)
ENSBTAG00000009685	ERI1	Bos taurus	exoribonuclease 1(ERI1)
ENSBTAG00000047954	ZNF75D	Bos taurus	zinc finger protein 75D(ZNF75D)
ENSBTAG00000046623	LOC782136	Bos taurus	ribosomal protein L26 pseudogene(LOC782136)
ENSBTAG00000021321	SDCBP2	Bos taurus	syndecan binding protein 2(SDCBP2)
ENSBTAG00000047953	NLRP2	Bos taurus	NLR family pyrin domain containing 2(NLRP2)
ENSBTAG00000009686	FBXO15	Bos taurus	F-box protein 15(FBXO15)
ENSBTAG00000019001	PRDM10	Bos taurus	PR/SET domain 10(PRDM10)
ENSBTAG00000033319	CD200	Bos taurus	CD200 molecule(CD200)
ENSBTAG00000019006	WDR24	Bos taurus	WD repeat domain 24(WDR24)
ENSBTAG00000033315	DNAJC1	Bos taurus	DnaJ heat shock protein family (Hsp40) member C1(DNAJC1)
ENSBTAG00000019007	LOC511302	Bos taurus	40S ribosomal protein S12(LOC511302)
ENSBTAG00000019008	FBXL16	Bos taurus	F-box and leucine rich repeat protein 16(FBXL16)
ENSBTAG00000034645	PON3	Bos taurus	paraoxonase 3(PON3)
ENSBTAG00000033316	PDCD1LG2	Bos taurus	programmed cell death 1 ligand 2(PDCD1LG2)
ENSBTAG00000019002	SLC2A12	Bos taurus	solute carrier family 2 member 12(SLC2A12)
ENSBTAG00000019003	TNP1	Bos taurus	transition protein 1(TNP1)
ENSBTAG00000033313	SLC38A9	Bos taurus	solute carrier family 38 member 9(SLC38A9)
ENSBTAG00000010670	VSIG8	Bos taurus	V-set and immunoglobulin domain containing 8(VSIG8)
ENSBTAG00000033312	ADAM3A	Bos taurus	ADAM metallopeptidase domain 3A (cyritestin 1)(ADAM3A)
ENSBTAG00000010671	GLI3	Bos taurus	GLI family zinc finger 3(GLI3)
ENSBTAG00000009694	PUS10	Bos taurus	pseudouridine synthase 10(PUS10)
ENSBTAG00000007031	OXSM	Bos taurus	3-oxoacyl-ACP synthase, mitochondrial(OXSM)
ENSBTAG00000008362	CTDSP1	Bos taurus	CTD small phosphatase 1(CTDSP1)
ENSBTAG00000008361	PON2	Bos taurus	paraoxonase 2(PON2)
ENSBTAG00000010686	OR2K2	Bos taurus	olfactory receptor family 2 subfamily K member 2(OR2K2)
ENSBTAG00000008363	EXD1	Bos taurus	exonuclease 3'-5' domain containing 1(EXD1)
ENSBTAG00000009693	TBC1D12	Bos taurus	TBC1 domain family member 12(TBC1D12)
ENSBTAG00000046618	OR52AC1	Bos taurus	olfactory receptor family 52 subfamily AC member 1(OR52AC1)
ENSBTAG00000010688	CSTA	Bos taurus	cystatin A(CSTA)
ENSBTAG00000009691	SH2B2	Bos taurus	SH2B adaptor protein 2(SH2B2)
ENSBTAG00000047948	EEF1AKMT1	Bos taurus	EEF1A lysine methyltransferase 1(EEF1AKMT1)
ENSBTAG00000021339	SCN8A	Bos taurus	sodium voltage-gated channel alpha subunit 8(SCN8A)
ENSBTAG00000010689	NRG2	Bos taurus	neuregulin 2(NRG2)
ENSBTAG00000020009	CCDC81	Bos taurus	coiled-coil domain containing 81(CCDC81)
ENSBTAG00000007039	FBXO25	Bos taurus	F-box protein 25(FBXO25)
ENSBTAG00000047945	OR52A24	Bos taurus	olfactory receptor family 52 subfamily A member 24(OR52A24)
ENSBTAG00000021337	SBF1	Bos taurus	SET binding factor 1(SBF1)
ENSBTAG00000046614	LOC100196900	Bos taurus	uncharacterized LOC100196900(LOC100196900)
ENSBTAG00000047944	GATA5	Bos taurus	GATA binding protein 5(GATA5)
ENSBTAG00000023999	GTF2A1L	Bos taurus	general transcription factor IIA subunit 1 like(GTF2A1L)
ENSBTAG00000021338	OAF	Bos taurus	out at first homolog(OAF)
ENSBTAG00000008369	RBM8A	Bos taurus	RNA binding motif protein 8A(RBM8A)
ENSBTAG00000020004	ZNF800	Bos taurus	zinc finger protein 800(ZNF800)
ENSBTAG00000023997	VAMP8	Bos taurus	vesicle associated membrane protein 8(VAMP8)
ENSBTAG00000021336	KIF5A	Bos taurus	kinesin family member 5A(KIF5A)
ENSBTAG00000047946	LOC783942	Bos taurus	60S ribosomal protein L9 pseudogene(LOC783942)
ENSBTAG00000009698	ABCD3	Bos taurus	ATP binding cassette subfamily D member 3(ABCD3)
ENSBTAG00000008366	STAC2	Bos taurus	SH3 and cysteine rich domain 2(STAC2)
ENSBTAG00000021333	REN	Bos taurus	renin(REN)
ENSBTAG00000007035	CCER1	Bos taurus	coiled-coil glutamate rich protein 1(CCER1)
ENSBTAG00000008365	ANKRD34A	Bos taurus	ankyrin repeat domain 34A(ANKRD34A)
ENSBTAG00000021334	C24H18orf32	Bos taurus	chromosome 24 C18orf32 homolog(C24H18orf32)
ENSBTAG00000020003	KLHL14	Bos taurus	kelch like family member 14(KLHL14)
ENSBTAG00000020000	RAP1GAP2	Bos taurus	RAP1 GTPase activating protein 2(RAP1GAP2)
ENSBTAG00000009696	ACTN2	Bos taurus	actinin alpha 2(ACTN2)
ENSBTAG00000046612	ZNF292	Bos taurus	zinc finger protein 292(ZNF292)
ENSBTAG00000047942	DESI1	Bos taurus	desumoylating isopeptidase 1(DESI1)
ENSBTAG00000020001	MEIOB	Bos taurus	meiosis specific with OB-fold(MEIOB)
ENSBTAG00000007036	SLC17A7	Bos taurus	solute carrier family 17 member 7(SLC17A7)
ENSBTAG00000019010	EIF2B3	Bos taurus	eukaryotic translation initiation factor 2B subunit gamma(EIF2B3)
ENSBTAG00000019011	PGM1	Bos taurus	phosphoglucomutase 1(PGM1)
ENSBTAG00000019012	KCTD16	Bos taurus	potassium channel tetramerization domain containing 16(KCTD16)
ENSBTAG00000033304	TCIM	Bos taurus	transcriptional and immune response regulator(TCIM)
ENSBTAG00000019017	LOC112444847	Bos taurus	interferon-induced transmembrane protein 1-like(LOC112444847)
ENSBTAG00000019018	LOC112441484	Bos taurus	interferon-induced transmembrane protein 3-like(LOC112441484)
ENSBTAG00000035966	GRXCR2	Bos taurus	glutaredoxin and cysteine rich domain containing 2(GRXCR2)
ENSBTAG00000034632	LEMD1	Bos taurus	LEM domain containing 1(LEMD1)
ENSBTAG00000019013	HECTD3	Bos taurus	HECT domain E3 ubiquitin protein ligase 3(HECTD3)
ENSBTAG00000034633	ERO1B	Bos taurus	endoplasmic reticulum oxidoreductase 1 beta(ERO1B)
ENSBTAG00000019014	MAGEF1	Bos taurus	MAGE family member F1(MAGEF1)
ENSBTAG00000019015	IFITM3	Bos taurus	interferon induced transmembrane protein 3 (1-8U)(IFITM3)
ENSBTAG00000010681	NR1H3	Bos taurus	nuclear receptor subfamily 1 group H member 3(NR1H3)
ENSBTAG00000010682	DDR1	Bos taurus	discoidin domain receptor tyrosine kinase 1(DDR1)
ENSBTAG00000010772	TPGS1	Bos taurus	tubulin polyglutamylase complex subunit 1(TPGS1)
ENSBTAG00000009780	GTF2I	Bos taurus	general transcription factor IIi(GTF2I)
ENSBTAG00000010773	GNPAT	Bos taurus	glyceronephosphate O-acyltransferase(GNPAT)
ENSBTAG00000007121	TK1	Bos taurus	thymidine kinase 1(TK1)
ENSBTAG00000008452	IHH	Bos taurus	Indian hedgehog signaling molecule(IHH)
ENSBTAG00000007120	ARFGEF2	Bos taurus	ADP ribosylation factor guanine nucleotide exchange factor 2(ARFGEF2)
ENSBTAG00000010774	NUSAP1	Bos taurus	nucleolar and spindle associated protein 1(NUSAP1)
ENSBTAG00000010775	POGK	Bos taurus	pogo transposable element derived with KRAB domain(POGK)
ENSBTAG00000046728	GPR152	Bos taurus	G protein-coupled receptor 152(GPR152)
ENSBTAG00000022759	PAG11	Bos taurus	pregnancy-associated glycoprotein 11(PAG11)
ENSBTAG00000021427	HOXB3	Bos taurus	homeobox B3(HOXB3)
ENSBTAG00000010777	CARS1	Bos taurus	cysteinyl-tRNA synthetase 1(CARS1)
ENSBTAG00000010778	NDUFAF1	Bos taurus	NADH:ubiquinone oxidoreductase complex assembly factor 1(NDUFAF1)
ENSBTAG00000021428	CNDP1	Bos taurus	carnosine dipeptidase 1(CNDP1)
ENSBTAG00000021425	LMAN1L	Bos taurus	lectin, mannose binding 1 like(LMAN1L)
ENSBTAG00000046724	CBX6	Bos taurus	chromobox 6(CBX6)
ENSBTAG00000046723	SYT14	Bos taurus	synaptotagmin 14(SYT14)
ENSBTAG00000021426	CPLX3	Bos taurus	complexin 3(CPLX3)
ENSBTAG00000008457	SLU7	Bos taurus	SLU7 homolog, splicing factor(SLU7)
ENSBTAG00000007129	IRAG1	Bos taurus	inositol 1,4,5-triphosphate receptor associated 1(IRAG1)
ENSBTAG00000021423	LKAAEAR1	Bos taurus	LKAAEAR motif containing 1(LKAAEAR1)
ENSBTAG00000046726	CLDN20	Bos taurus	claudin 20(CLDN20)
ENSBTAG00000009788	ACOT2	Bos taurus	acyl-CoA thioesterase 2(ACOT2)
ENSBTAG00000007128	ATP13A1	Bos taurus	ATPase 13A1(ATP13A1)
ENSBTAG00000009789	GNAQ	Bos taurus	G protein subunit alpha q(GNAQ)
ENSBTAG00000046725	TNNC2	Bos taurus	troponin C2, fast skeletal type(TNNC2)
ENSBTAG00000021424	CSK	Bos taurus	C-terminal Src kinase(CSK)
ENSBTAG00000007123	ENSA	Bos taurus	endosulfine alpha(ENSA)
ENSBTAG00000009786	SCIN	Bos taurus	scinderin(SCIN)
ENSBTAG00000021421	SSR4	Bos taurus	signal sequence receptor subunit 4(SSR4)
ENSBTAG00000046720	LOC782781	Bos taurus	uncharacterized LOC782781(LOC782781)
ENSBTAG00000021422	PDZD4	Bos taurus	PDZ domain containing 4(PDZD4)
ENSBTAG00000007122	ZFP2	Bos taurus	ZFP2 zinc finger protein(ZFP2)
ENSBTAG00000008453	LBR	Bos taurus	lamin B receptor(LBR)
ENSBTAG00000022751	ZCWPW2	Bos taurus	zinc finger CW-type and PWWP domain containing 2(ZCWPW2)
ENSBTAG00000046722	LOC789799	Bos taurus	mastin(LOC789799)
ENSBTAG00000009784	RAB32	Bos taurus	RAB32, member RAS oncogene family(RAB32)
ENSBTAG00000007125	AFMID	Bos taurus	arylformamidase(AFMID)
ENSBTAG00000021420	EPHA7	Bos taurus	EPH receptor A7(EPHA7)
ENSBTAG00000009785	SAMD4B	Bos taurus	sterile alpha motif domain containing 4B(SAMD4B)
ENSBTAG00000019105	NPLOC4	Bos taurus	NPL4 homolog, ubiquitin recognition factor(NPLOC4)
ENSBTAG00000033413	DDX50	Bos taurus	DExD-box helicase 50(DDX50)
ENSBTAG00000019106	EIF1B	Bos taurus	eukaryotic translation initiation factor 1B(EIF1B)
ENSBTAG00000019107	GAS7	Bos taurus	growth arrest specific 7(GAS7)
ENSBTAG00000034743	OR2T2	Bos taurus	olfactory receptor family 2 subfamily T member 2(OR2T2)
ENSBTAG00000033412	B3GLCT	Bos taurus	Beta 3-glucosyltransferase(B3GLCT)
ENSBTAG00000019104	FAAP100	Bos taurus	FA core complex associated protein 100(FAAP100)
ENSBTAG00000007130	ESF1	Bos taurus	ESF1 nucleolar pre-rRNA processing protein homolog(ESF1)
ENSBTAG00000008461	LSG1	Bos taurus	large 60S subunit nuclear export GTPase 1(LSG1)
ENSBTAG00000010784	ABT1	Bos taurus	activator of basal transcription 1(ABT1)
ENSBTAG00000008463	SLC22A14	Bos taurus	solute carrier family 22 member 14(SLC22A14)
ENSBTAG00000008462	FAM43A	Bos taurus	family with sequence similarity 43 member A(FAM43A)
ENSBTAG00000010785	FAS	Bos taurus	Fas cell surface death receptor(FAS)
ENSBTAG00000007131	GADL1	Bos taurus	glutamate decarboxylase like 1(GADL1)
ENSBTAG00000010786	TACC2	Bos taurus	transforming acidic coiled-coil containing protein 2(TACC2)
ENSBTAG00000046717	LOC104968501	Bos taurus	protocadherin alpha-3-like(LOC104968501)
ENSBTAG00000020109	TRAP1	Bos taurus	TNF receptor associated protein 1(TRAP1)
ENSBTAG00000010787	RFC3	Bos taurus	replication factor C subunit 3(RFC3)
ENSBTAG00000010788	PPM1E	Bos taurus	protein phosphatase, Mg2+/Mn2+ dependent 1E(PPM1E)
ENSBTAG00000021438	ZNF821	Bos taurus	zinc finger protein 821(ZNF821)
ENSBTAG00000020107	DNASE1	Bos taurus	deoxyribonuclease 1(DNASE1)
ENSBTAG00000010789	ANKRD54	Bos taurus	ankyrin repeat domain 54(ANKRD54)
ENSBTAG00000020108	LETM1	Bos taurus	leucine zipper and EF-hand containing transmembrane protein 1(LETM1)
ENSBTAG00000046718	TEX43	Bos taurus	testis expressed 43(TEX43)
ENSBTAG00000020105	AQP7	Bos taurus	aquaporin 7(AQP7)
ENSBTAG00000046712	PSMC2	Bos taurus	proteasome 26S subunit, ATPase 2(PSMC2)
ENSBTAG00000008468	AGAP3	Bos taurus	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3(AGAP3)
ENSBTAG00000007137	RFC5	Bos taurus	replication factor C subunit 5(RFC5)
ENSBTAG00000020106	AP2M1	Bos taurus	adaptor related protein complex 2 subunit mu 1(AP2M1)
ENSBTAG00000021437	GPR174	Bos taurus	G protein-coupled receptor 174(GPR174)
ENSBTAG00000021434	EDN2	Bos taurus	endothelin 2(EDN2)
ENSBTAG00000021435	MAFF	Bos taurus	MAF bZIP transcription factor F(MAFF)
ENSBTAG00000007139	WSB2	Bos taurus	WD repeat and SOCS box containing 2(WSB2)
ENSBTAG00000007139	VSIG10	Bos taurus	V-set and immunoglobulin domain containing 10(VSIG10)
ENSBTAG00000009797	RIMBP2	Bos taurus	RIMS binding protein 2(RIMBP2)
